number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
55,0.0,2025-07-01 20:15:39.635938,2025-07-01 20:15:39.846673,0 days 00:00:00.210735,0.4230975581754119,2,0.7175966339866291,3.79243598148371,6.281761150721801,0.08726955003058141,15,93,230,COMPLETE
56,0.0,2025-07-01 20:15:39.846673,2025-07-01 20:15:40.059128,0 days 00:00:00.212455,0.5328569253726229,3,0.8799594183681361,4.5720684177318915,9.545549707234184,0.15955110994063237,7,87,122,COMPLETE
57,0.0,2025-07-01 20:15:40.060135,2025-07-01 20:15:40.261613,0 days 00:00:00.201478,0.5752416062415815,1,0.6090362796412603,3.2311535672203773,6.847508732776539,0.12328464824387189,5,97,102,COMPLETE
58,0.0,2025-07-01 20:15:40.262619,2025-07-01 20:15:40.459122,0 days 00:00:00.196503,0.4920282369176023,5,0.6617452235817695,1.4063717346903917,5.854095911901734,0.02877890524381143,9,51,253,COMPLETE
59,0.0,2025-07-01 20:15:40.459122,2025-07-01 20:15:40.645869,0 days 00:00:00.186747,0.7049495046735317,3,0.7341624670694366,7.094390208409074,1.3157154515713112,0.0775060616033584,3,75,157,COMPLETE
60,0.0,2025-07-01 20:15:40.645869,2025-07-01 20:15:40.843685,0 days 00:00:00.197816,0.46567322881737727,2,0.5711041888174468,8.239178920262855,3.1097734234010517,0.053859474429395815,11,57,70,COMPLETE
61,0.0,2025-07-01 20:15:40.843685,2025-07-01 20:15:41.052226,0 days 00:00:00.208541,0.4127946944555761,3,0.5129942360280249,2.427239435562345,8.133502515855712,0.014546989331885148,14,40,201,COMPLETE
62,0.0,2025-07-01 20:15:41.052226,2025-07-01 20:15:41.245419,0 days 00:00:00.193193,0.4458091390480068,4,0.4294064978427673,3.172675656281694,8.745660357729443,0.01152916642437446,15,48,175,COMPLETE
63,0.0,2025-07-01 20:15:41.246418,2025-07-01 20:15:41.443027,0 days 00:00:00.196609,0.4999943796977313,3,0.49045827880066,2.043436789676747,7.135069068059515,0.013137316922394044,14,33,222,COMPLETE
64,0.0,2025-07-01 20:15:41.443027,2025-07-01 20:15:41.633817,0 days 00:00:00.190790,0.9076966511524407,1,0.5413801662359224,9.60989758102058,0.5539490306387047,0.01907906250177294,13,58,144,COMPLETE
