model_name,accuracy_test,accuracy_train,weighted_f1_test,weighted_f1_train,weighted_precision_test,weighted_precision_train,weighted_recall_test,weighted_recall_train,roc_auc_ovr_test,roc_auc_ovr_train,training_time_test,training_time_train,memory_usage_test,memory_usage_train,cohens_kappa_test,cohens_kappa_train,matthews_corrcoef_test,matthews_corrcoef_train,log_loss_test,log_loss_train,confidence_mean_test,confidence_mean_train,confidence_std_test,confidence_std_train,prediction_entropy_test,prediction_entropy_train,ensemble_size,ensemble_type,family,is_ensemble,is_boosting,is_parametric,overfit_gap_f1,underfit_score_f1,brier_approx,z_time,z_mem,complexity_score,co2_proxy,cluster,tradeoff_score,complexity_reason
deepgbm_randomforest_weighted,0.783270911360799,0.8784019975031211,0.7565229214567099,0.8641069837149712,0.7609858145491321,0.8880549506400662,0.783270911360799,0.8784019975031211,0.7927039701727271,0.8534294573844804,397.27895307540894,397.27895307540894,5.200000000000003,5.200000000000003,0.3804750023122988,0.6583914394472956,0.4055093557412606,0.6926079498822989,0.8480948795738746,0.7995898663176377,0.4736170839049399,0.478017746665333,0.0277978281069385,0.0276074658322446,1.0511912203333078,1.0488557408007568,2,weighted,mixed,True,False,False,0.10758406225826134,0.7565229214567099,1.2235422769645516,0.12756614545731515,2.164051351935447,2.541617497392762,1009.7311384823374,3,-401.38918131271527,High time/memory with marginal F1 gain
xgboost_naivebayes,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7869929122165326,0.9705341601297514,89.94048285484314,89.94048285484314,5.099999999999994,5.099999999999994,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,0.863446138106869,0.6342216184837529,0.5937542787334438,0.6170424456236236,0.1516143466326275,0.1719152536180006,0.7056452012414629,0.6599234607471252,2,none,mixed,True,False,False,0.0342360064031797,0.1958417114544749,1.2456894615215068,-0.15852879471914405,2.1106588637649017,2.202130069045758,198.06064171914454,0,-85.91652805979601,High time/memory with marginal F1 gain
neuralnetwork_parametric,0.650187265917603,0.6770911360799001,0.674790706481639,0.7008403268658372,0.7397557908511869,0.7643647529611207,0.650187265917603,0.6770911360799001,0.7720866261847699,0.8220943279987826,52.294145345687866,52.294145345687866,5.1000000000000085,5.1000000000000085,0.3452081497531316,0.3919575249129037,0.3677564904080634,0.4163520172584594,0.8766767908578205,0.8374196042026826,0.5673730850054762,0.571255105362756,0.1504474618685424,0.1532866584388393,0.8996237722778575,0.8933911815025093,1,parametric,neural_networks,True,False,True,0.026049620384198224,0.674790706481639,1.2647772586330286,-0.19357298124683459,2.1106588637649093,1.9170858825180748,100.2523677805665,0,-47.0527555224756,High time/memory with marginal F1 gain
randomforest_naivebayes,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7137908537662513,0.830210573934252,4.390342473983765,4.390342473983765,4.699999999999989,4.699999999999989,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,1.429470745546192,1.3343176069838645,0.6629390649321638,0.6674022790352446,0.0380654634421609,0.0407061713044764,0.8648771344774251,0.8584763885934541,2,none,mixed,True,False,False,0.0342360064031797,0.1958417114544749,2.0622903556953402,-0.23816562728613277,1.8970889110827356,1.9089232837966028,8.380826972428789,0,-5.085494920023162,High time/memory with marginal F1 gain
xgboost_naivebayes_voting,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7869929122165326,0.9705341601297514,42.16665291786194,42.16665291786194,4.6000000000000085,4.6000000000000085,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,0.863446138106869,0.6342216184837529,0.5937542787334438,0.6170424456236236,0.1516143466326275,0.1719152536180006,0.7056452012414629,0.6599234607471252,2,voting,mixed,True,False,False,0.0342360064031797,0.1958417114544749,1.2456894615215068,-0.203000451677715,1.8436964229122053,1.8906959712344902,79.72432079224463,0,-38.212348905925424,High time/memory with marginal F1 gain
gradientboost_naivebayes_weighted,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7863320858185304,0.9567320562279596,1639.60875582695,1639.60875582695,1.7000000000000028,1.7000000000000028,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,0.87502477872422,0.690778418136049,0.5974413088247635,0.6114494642071048,0.1501047240367597,0.1588293502019499,0.7149221676482718,0.6941781439227103,2,weighted,mixed,True,False,False,0.0342360064031797,0.1958417114544749,1.2623939089203948,1.2840249198585778,0.2953142659665195,1.8293391858250974,2999.4005464561737,4,-1419.9986454932555,High time/memory with marginal F1 gain
deepgbm_randomforest_voting,0.787765293383271,0.8704744069912609,0.7668329961930068,0.8560787464538943,0.7665136265299504,0.8742842789892312,0.787765293383271,0.8704744069912609,0.7948697816039777,0.8491636036691835,408.1906068325043,408.1906068325043,3.799999999999997,3.799999999999997,0.4144292678546825,0.6392222320938412,0.431169172334793,0.6687104033500018,0.8471535727838602,0.8046134768589347,0.4709333967845502,0.476861686324902,0.0307185787137816,0.0289203710189935,1.0521644701156516,1.0493262720893606,2,voting,mixed,True,False,False,0.08924575026088744,0.7668329961930068,1.2221842583266427,0.13772357523375037,1.416556517547873,1.8042800927816234,736.490185968338,3,-351.76650761372673,High time/memory with marginal F1 gain
knn_naivebayes_logisticregression_voting,0.4459425717852684,0.5859550561797753,0.4959078623686152,0.6223188125093814,0.6577373136524591,0.8275735961146456,0.4459425717852684,0.5859550561797753,0.6490817683760702,0.896633107210029,4.6107447147369385,4.6107447147369385,3.5,3.5,0.1278196263512051,0.3600075656682003,0.1541392828429012,0.4421922588814714,0.9575312964360712,0.7545203193466172,0.5605734112960318,0.5706451045456061,0.1406240858637208,0.1422149245655532,0.8417231390528026,0.8239234219624201,3,voting,mixed,True,False,False,0.12641095014076614,0.4959078623686152,1.3814256528642999,-0.23796045945980182,1.2563790530362522,1.5184185935764503,7.001040505090914,0,-4.259672596018037,High time/memory with marginal F1 gain
logisticregression_naivebayes_knn_weighted,0.4459425717852684,0.5859550561797753,0.4959078623686152,0.6223188125093814,0.6577373136524591,0.8275735961146456,0.4459425717852684,0.5859550561797753,0.6490817683760702,0.896633107210029,4.5995917320251465,4.5995917320251465,3.5,3.5,0.1278196263512051,0.3600075656682003,0.1541392828429012,0.4421922588814714,0.9575312964360712,0.7545203193466172,0.5605734112960318,0.5706451045456061,0.1406240858637208,0.1422149245655532,0.8417231390528026,0.8239234219624201,3,weighted,mixed,True,False,False,0.12641095014076614,0.4959078623686152,1.3814256528642999,-0.23797084153764397,1.2563790530362522,1.5184082114986082,6.984057855448088,0,-4.250699574733575,High time/memory with marginal F1 gain
deepgbm_advancedsvm_parametric,0.7857677902621722,0.8766541822721599,0.751519438542983,0.861596358621054,0.7670128268878077,0.8884435474818327,0.7857677902621722,0.8766541822721599,0.7845951259328854,0.934721315533478,803.8225626945496,803.8225626945496,2.299999999999997,2.299999999999997,0.3633037079611633,0.6519034974244251,0.401389258501944,0.6878941611539376,0.6442711050311938,0.5476526644865318,0.6436142345816277,0.6444459236409164,0.0858945017147262,0.0858270020996371,0.8606681342318054,0.8597146342945524,2,parametric,mixed,True,False,True,0.11007692007807102,0.751519438542983,0.9294867282165558,0.5060090705803505,0.6156691949897611,1.3716782655701116,1102.585938622982,3,-622.3669496333282,High time/memory with marginal F1 gain
